YEAR,STATE,RATE,DEATHS,latitude,longitude
2018,AL,16.6,775,32.318231,-86.902298
2018,AK,14.6,110,63.588753,-154.493062
2018,AZ,23.8,1670,34.048928,-111.093731
2018,AR,15.7,444,35.20105,-91.831833
2018,CA,12.8,5348,36.778261,-119.417932
2018,CO,16.8,995,39.550051,-105.782067
2018,CT,30.7,1069,41.603221,-73.087749
2018,DE,43.8,401,38.910832,-75.52767
2018,FL,22.8,4698,27.664827,-81.515754
2018,GA,13.2,1404,32.157435,-82.907123
2018,HI,14.3,213,"19.898682	-155.665857v",
2018,ID,14.6,250,44.068202,-114.742041
2018,IL,21.3,2722,40.633125,-89.398528
2018,IN,25.6,1629,40.551217,-85.602364
2018,IA,9.6,287,41.878003,-93.097702
2018,KS,12.4,345,39.011902,-98.484246
2018,KY,30.9,1315,37.839333,-84.270018
2018,LA,25.4,1140,31.244823,-92.145024
2018,ME,27.9,345,45.253783,-69.445469
2018,MD,37.2,2324,39.045755,-76.641271
2018,MA,32.8,2241,42.407211,-71.382437
2018,MI,26.6,2591,44.314844,-85.602364
2018,MN,11.5,636,46.729553,-94.6859
2018,MS,10.8,310,32.354668,-89.398528
2018,MO,27.5,1610,37.964253,-91.831833
2018,MT,12.2,125,46.879682,-110.362566
2018,NE,7.4,138,41.492537,-99.901813
2018,NV,21.2,688,38.80261,-116.419389
2018,NH,35.8,452,43.193852,-71.572395
2018,NJ,33.1,2900,40.058324,-74.405661
2018,NM,26.7,537,34.97273,-105.032363
2018,NY,18.4,3697,43.299428,-74.217933
2018,NC,22.4,2259,35.759573,-79.0193
2018,ND,10.2,70,47.551493,-101.002012
2018,OH,35.9,3980,40.417287,-82.907123
2018,OK,18.4,716,35.007752,-97.092877
2018,OR,12.6,547,43.804133,-120.554201
2018,PA,36.1,4415,41.203322,-77.194525
2018,RI,30.1,317,41.580095,-71.477429
2018,SC,22.6,1125,33.836081,-81.163725
2018,SD,6.9,57,43.969515,"	-99.901813"
2018,TN,27.5,1823,35.517491,-86.580447
2018,TX,10.4,3005,31.968599,-99.901813
2018,UT,21.2,624,39.32098,-111.093731
2018,VT,26.6,153,44.558803,-72.577841
2018,VA,17.1,1448,37.431573,-78.656894
2018,WA,14.8,1164,47.751074,-120.740139
2018,WV,51.5,856,38.597626,-80.454903
2018,WI,19.2,1079,43.78444,-88.787868
2018,WY,11.1,66,43.075968,-107.290284
2017,AL,18,835,32.318231,-86.902298
2017,AK,20.2,147,63.588753,-154.493062
2017,AZ,22.2,1532,34.048928,-111.093731
2017,AR,15.5,446,35.20105,-91.831833
2017,CA,11.7,4868,36.778261,-119.417932
2017,CO,17.6,1015,39.550051,-105.782067
2017,CT,30.9,1072,41.603221,-73.087749
2017,DE,37,338,38.910832,-75.52767
2017,FL,25.1,5088,27.664827,-81.515754
2017,GA,14.7,1537,32.157435,-82.907123
2017,HI,13.8,203,"19.898682	-155.665857v",
2017,ID,14.4,236,44.068202,-114.742041
2017,IL,21.6,2778,40.633125,-89.398528
2017,IN,29.4,1852,40.551217,-85.602364
2017,IA,11.5,341,41.878003,-93.097702
2017,KS,11.8,333,39.011902,-98.484246
2017,KY,37.2,1566,37.839333,-84.270018
2017,LA,24.5,1108,31.244823,-92.145024
2017,ME,34.4,424,45.253783,-69.445469
2017,MD,36.3,2247,39.045755,-76.641271
2017,MA,31.8,2168,42.407211,-71.382437
2017,MI,27.8,2694,44.314844,-85.602364
2017,MN,13.3,733,46.729553,-94.6859
2017,MS,12.2,354,32.354668,-89.398528
2017,MO,23.4,1367,37.964253,-91.831833
2017,MT,11.7,119,46.879682,-110.362566
2017,NE,8.1,152,41.492537,-99.901813
2017,NV,21.6,676,38.80261,-116.419389
2017,NH,37,467,43.193852,-71.572395
2017,NJ,30,2685,40.058324,-74.405661
2017,NM,24.8,493,34.97273,-105.032363
2017,NY,19.4,3921,43.299428,-74.217933
2017,NC,24.1,2414,35.759573,-79.0193
2017,ND,9.2,68,47.551493,-101.002012
2017,OH,46.3,5111,40.417287,-82.907123
2017,OK,20.1,775,35.007752,-97.092877
2017,OR,12.4,530,43.804133,-120.554201
2017,PA,44.3,5388,41.203322,-77.194525
2017,RI,31,320,41.580095,-71.477429
2017,SC,20.5,1008,33.836081,-81.163725
2017,SD,8.5,73,43.969515,"	-99.901813"
2017,TN,26.6,1776,35.517491,-86.580447
2017,TX,10.5,2989,31.968599,-99.901813
2017,UT,22.3,650,39.32098,-111.093731
2017,VT,23.2,134,44.558803,-72.577841
2017,VA,17.9,1507,37.431573,-78.656894
2017,WA,15.2,1169,47.751074,-120.740139
2017,WV,57.8,974,38.597626,-80.454903
2017,WI,21.2,1177,43.78444,-88.787868
2017,WY,12.2,69,43.075968,-107.290284
2016,AL,16.2,756,32.318231,-86.902298
2016,AK,16.8,128,63.588753,-154.493062
2016,AZ,20.3,1382,34.048928,-111.093731
2016,AR,14,401,35.20105,-91.831833
2016,CA,11.2,4654,36.778261,-119.417932
2016,CO,16.6,942,39.550051,-105.782067
2016,CT,27.4,971,41.603221,-73.087749
2016,DE,30.8,282,38.910832,-75.52767
2016,FL,23.7,4728,27.664827,-81.515754
2016,GA,13.3,1394,32.157435,-82.907123
2016,HI,12.8,191,"19.898682	-155.665857v",
2016,ID,15.2,243,44.068202,-114.742041
2016,IL,18.9,2411,40.633125,-89.398528
2016,IN,24,1526,40.551217,-85.602364
2016,IA,10.6,314,41.878003,-93.097702
2016,KS,11.1,313,39.011902,-98.484246
2016,KY,33.5,1419,37.839333,-84.270018
2016,LA,21.8,996,31.244823,-92.145024
2016,ME,28.7,353,45.253783,-69.445469
2016,MD,33.2,2044,39.045755,-76.641271
2016,MA,33,2227,42.407211,-71.382437
2016,MI,24.4,2347,44.314844,-85.602364
2016,MN,12.5,672,46.729553,-94.6859
2016,MS,12.1,352,32.354668,-89.398528
2016,MO,23.6,1371,37.964253,-91.831833
2016,MT,11.7,119,46.879682,-110.362566
2016,NE,6.4,120,41.492537,-99.901813
2016,NV,21.7,665,38.80261,-116.419389
2016,NH,39,481,43.193852,-71.572395
2016,NJ,23.2,2056,40.058324,-74.405661
2016,NM,25.2,500,34.97273,-105.032363
2016,NY,18,3638,43.299428,-74.217933
2016,NC,19.7,1956,35.759573,-79.0193
2016,ND,10.6,77,47.551493,-101.002012
2016,OH,39.1,4329,40.417287,-82.907123
2016,OK,21.5,813,35.007752,-97.092877
2016,OR,11.9,506,43.804133,-120.554201
2016,PA,37.9,4627,41.203322,-77.194525
2016,RI,30.8,326,41.580095,-71.477429
2016,SC,18.1,879,33.836081,-81.163725
2016,SD,8.4,69,43.969515,"	-99.901813"
2016,TN,24.5,1630,35.517491,-86.580447
2016,TX,10.1,2831,31.968599,-99.901813
2016,UT,22.4,635,39.32098,-111.093731
2016,VT,22.2,125,44.558803,-72.577841
2016,VA,16.7,1405,37.431573,-78.656894
2016,WA,14.5,1102,47.751074,-120.740139
2016,WV,52,884,38.597626,-80.454903
2016,WI,19.3,1074,43.78444,-88.787868
2016,WY,17.6,99,43.075968,-107.290284
2015,AL,15.7,736,32.318231,-86.902298
2015,AK,16,122,63.588753,-154.493062
2015,AZ,19,1274,34.048928,-111.093731
2015,AR,13.8,392,35.20105,-91.831833
2015,CA,11.3,4659,36.778261,-119.417932
2015,CO,15.4,869,39.550051,-105.782067
2015,CT,22.1,800,41.603221,-73.087749
2015,DE,22,198,38.910832,-75.52767
2015,FL,16.2,3228,27.664827,-81.515754
