YEAR,STATE,RATE,DEATHS,DeathRange,SIZE,RankRATE,RankDEATHS,RankDEATHS,latitude,longitude
2018,AL,21.8,1064,,13.3,2,13,13,32.318231,-86.902298
2018,AK,21,155,,1.9375,6,42,42,63.588753,-154.493062
2018,AZ,15.3,1147,,14.3375,18,12,12,34.048928,-111.093731
2018,AR,18.9,573,,7.1625,8,26,26,35.20105,-91.831833
2018,CA,7.5,3040,,38,44,2,2,36.778261,-119.417932
2018,CO,15.2,889,,11.1125,19,18,18,39.550051,-105.782067
2018,CT,4.9,186,,2.325,45,38,38,41.603221,-73.087749
2018,DE,11.6,107,,1.3375,34,46,46,38.910832,-75.52767
2018,FL,12.9,2902,,36.275,26,3,3,27.664827,-81.515754
2018,GA,15.7,1680,,21,17,4,4,32.157435,-82.907123
2018,HI,4,59,,0.7375,48,49,49,"19.898682	-155.665857v",
2018,ID,16.6,294,,3.675,16,35,35,44.068202,-114.742041
2018,IL,10.9,1382,,17.275,36,8,8,40.633125,-89.398528
2018,IN,14.7,977,,12.2125,21,16,16,40.551217,-85.602364
2018,IA,8.7,282,,3.525,42,36,36,41.878003,-93.097702
2018,KS,14.8,424,,5.3,20,31,31,39.011902,-98.484246
2018,KY,16.9,762,,9.525,14,21,21,37.839333,-84.270018
2018,LA,21.4,991,,12.3875,5,15,15,31.244823,-92.145024
2018,ME,10.3,159,,1.9875,39,41,41,45.253783,-69.445469
2018,MD,11.7,707,,8.8375,32,22,22,39.045755,-76.641271
2018,MA,3.5,258,,3.225,49,37,37,42.407211,-71.382437
2018,MI,12.9,1310,,16.375,26,10,10,44.314844,-85.602364
2018,MN,7.8,437,,5.4625,43,30,30,46.729553,-94.6859
2018,MS,22.9,681,,8.5125,1,23,23,32.354668,-89.398528
2018,MO,21.5,1311,,16.3875,3,9,9,37.964253,-91.831833
2018,MT,17.3,186,,2.325,13,38,38,46.879682,-110.362566
2018,NE,9,183,,2.2875,41,40,40,41.492537,-99.901813
2018,NV,17.9,550,,6.875,10,27,27,38.80261,-116.419389
2018,NH,10.8,155,,1.9375,37,42,42,43.193852,-71.572395
2018,NJ,4.8,420,,5.25,46,32,32,40.058324,-74.405661
2018,NM,20.7,438,,5.475,7,29,29,34.97273,-105.032363
2018,NY,4.1,821,,10.2625,47,19,19,43.299428,-74.217933
2018,NC,13.3,1416,,17.7,23,7,7,35.759573,-79.0193
2018,ND,11.5,89,,1.1125,35,47,47,47.551493,-101.002012
2018,OH,13.1,1555,,19.4375,25,6,6,40.417287,-82.907123
2018,OK,16.8,665,,8.3125,15,24,24,35.007752,-97.092877
2018,OR,11.7,519,,6.4875,32,28,28,43.804133,-120.554201
2018,PA,12.5,1654,,20.675,29,5,5,41.203322,-77.194525
2018,RI,3.3,37,,0.4625,50,50,50,41.580095,-71.477429
2018,SC,17.6,895,,11.1875,12,17,17,33.836081,-81.163725
2018,SD,13.6,117,,1.4625,22,45,45,43.969515,"	-99.901813"
2018,TN,17.8,1228,,15.35,11,11,11,35.517491,-86.580447
2018,TX,12.2,3522,,44.025,30,1,1,31.968599,-99.901813
2018,UT,13.2,397,,4.9625,24,33,33,39.32098,-111.093731
2018,VT,12.8,82,,1.025,28,48,48,44.558803,-72.577841
2018,VA,11.8,1035,,12.9375,31,14,14,37.431573,-78.656894
2018,WA,10.4,809,,10.1125,38,20,20,47.751074,-120.740139
2018,WV,18.2,343,,4.2875,9,34,34,38.597626,-80.454903
2018,WI,10.1,598,,7.475,40,25,25,43.78444,-88.787868
2018,WY,21.5,124,,1.55,3,44,44,43.075968,-107.290284
2017,AL,22.9,1124,,14.05,2,13,13,32.318231,-86.902298
2017,AK,24.5,180,,2.25,1,40,40,63.588753,-154.493062
2017,AZ,15.8,1134,,14.175,18,12,12,34.048928,-111.093731
2017,AR,20.3,613,,7.6625,7,26,26,35.20105,-91.831833
2017,CA,7.9,3184,,39.8,44,2,2,36.778261,-119.417932
2017,CO,13.4,779,,9.7375,24,19,19,39.550051,-105.782067
2017,CT,5.1,188,,2.35,46,39,39,41.603221,-73.087749
2017,DE,11.7,111,,1.3875,34,45,45,38.910832,-75.52767
2017,FL,12.4,2724,,34.05,27,3,3,27.664827,-81.515754
2017,GA,15.4,1623,,20.2875,19,5,5,32.157435,-82.907123
2017,HI,2.5,39,,0.4875,50,50,50,"19.898682	-155.665857v",
2017,ID,16.4,280,,3.5,15,36,36,44.068202,-114.742041
2017,IL,12.1,1543,,19.2875,30,7,7,40.633125,-89.398528
2017,IN,15.3,1016,,12.7,20,15,15,40.551217,-85.602364
2017,IA,9,293,,3.6625,41,35,35,41.878003,-93.097702
2017,KS,16,466,,5.825,17,30,30,39.011902,-98.484246
2017,KY,16.2,730,,9.125,16,22,22,37.839333,-84.270018
2017,LA,21.7,1008,,12.6,4,16,16,31.244823,-92.145024
2017,ME,11.7,172,,2.15,34,41,41,45.253783,-69.445469
2017,MD,12.3,742,,9.275,29,21,21,39.045755,-76.641271
2017,MA,3.7,262,,3.275,48,37,37,42.407211,-71.382437
2017,MI,11.3,1138,,14.225,37,11,11,44.314844,-85.602364
2017,MN,8.2,465,,5.8125,43,31,31,46.729553,-94.6859
2017,MS,21.5,632,,7.9,5,24,24,32.354668,-89.398528
2017,MO,21.5,1307,,16.3375,5,9,9,37.964253,-91.831833
2017,MT,22.5,244,,3.05,3,38,38,46.879682,-110.362566
2017,NE,8.3,160,,2,42,42,42,41.492537,-99.901813
2017,NV,16.7,508,,6.35,14,28,28,38.80261,-116.419389
2017,NH,10.4,146,,1.825,40,43,43,43.193852,-71.572395
2017,NJ,5.3,478,,5.975,45,29,29,40.058324,-74.405661
2017,NM,18.5,394,,4.925,10,33,33,34.97273,-105.032363
2017,NY,3.7,772,,9.65,48,20,20,43.299428,-74.217933
2017,NC,13.7,1430,,17.875,22,8,8,35.759573,-79.0193
2017,ND,13.2,103,,1.2875,25,46,46,47.551493,-101.002012
2017,OH,13.7,1589,,19.8625,22,6,6,40.417287,-82.907123
2017,OK,17.2,681,,8.5125,13,23,23,35.007752,-97.092877
2017,OR,12.1,528,,6.6,30,27,27,43.804133,-120.554201
2017,PA,12.5,1636,,20.45,26,4,4,41.203322,-77.194525
2017,RI,3.9,43,,0.5375,47,49,49,41.580095,-71.477429
2017,SC,17.7,893,,11.1625,12,17,17,33.836081,-81.163725
2017,SD,11.9,101,,1.2625,32,47,47,43.969515,"	-99.901813"
2017,TN,18.4,1246,,15.575,11,10,10,35.517491,-86.580447
2017,TX,12.4,3513,,43.9125,27,1,1,31.968599,-99.901813
2017,UT,14,410,,5.125,21,32,32,39.32098,-111.093731
