Me,Address,Count,Continent,sov_a3,Country,Mcount,Description,FeatureCount,Fee,longtitude,latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,MuseumLoctation,MuseumTopic,Color,,,,,ColorCode
2,"Great Russell Street, London WC1B 3DG, England",397,Europe,GBR,England,79,"A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies.",6,No ,-0.1268526,51.5179811,2-3 hours ,British Museum,+44 (0)20 7323 8299,1,4.5,"41,295","1,443",Museums,History,Black,,,,,
,"Leeman Road, York YO26 4XJ, England",397,Europe,GBR,England,79,"For a fantastic day out for the whole family in York, visit the award winning National Railway Museum. Get up close to over 300 years of fascinating history in York's only National Museum. Explore our giant halls full of trains and railway legends including the majestic Duchess of Hamilton, step on to the futuristic Japanese Bullet Train or marvel at the stunning opulence of the Royal Trains. Get on board awe-inspiring locomotives, watch our engineers at work in the Workshop, uncover hidden treasures in the Warehouse and make tracks to the outdoor area. The children can let off steam in our outdoor play area, and our miniature railway ride is perfect for the whole family. Every weekend and throughout the school holidays, the kids can enjoy a lively programme of events, including science shows, story telling, steam rides, craft activities and special events. Please note that calls to our listed phone number (0844...) cost 4.25p per minute plus your phone company's access charge.",9,NA,-1.0982609,53.9607057,NA,National Railway Museum,4.48E+11,1,4.5,"10,833",191,Museums,Transportation,#bf7000,,,,,
,"Kelvingrove Art Galleries Argyle Street, Glasgow G3 8AG, Scotland",397,Europe,GBR,England,79,"Kelvingrove Art Gallery and Museum is Scotland's most visited free attraction. With 22 themed, state-of-the-art galleries displaying an astonishing 8000 objects, the collections are extensive, wide-ranging and internationally-significant.",5,No ,-4.2813729,55.8638357,2-3 hours ,Kelvingrove Art Gallery and Museum,+44 141 276 9599,1,4.5,"8,312",253,Museums,Art,Orange,,,,,
,"St Fagans | Cardiff, Cardiff CF5 6XB, Wales",397,Europe,GBR,England,79,"A large, living museum chronicling the last 500 years of Welsh history: fun, interactive exhibits make this a popular family destination.",0,NA,-3.272611,51.4869444,NA,St. Fagans: National History Museum,+44 29 2057 3500,1,4.5,"4,611",148,Museums,History,Black,,,,,
,"Beamish, England",397,Europe,GBR,England,79,,0,NA,-1.6454086,54.8755707,More than 3 hours ,Beamish Museum,1913704000,1,4.5,"4,510",2,Museums,History,Black,,,,,
,"Ashmolean Museum Beaumont Street, Oxford OX1 2PH, England",397,Europe,GBR,England,79,"Oxford University's Ashmolean Museum of Art and Archaeology, established in 1683, is Britains oldest public museum and one of the oldest museums in the world.",2,NA,-1.260084,51.7554143,No ,Ashmolean Museum of Art and Archaeology,44-1865-278000,1,4.5,"3,335",165,Museums,Art,Orange,,,,,
,"Millennium Place 16 Hales Street, Coventry CV1 1JD, England",397,Europe,GBR,England,79,"If you're looking for a fantastic FREE day out for all the family, you can't beat Coventry Transport Museum. In the heart of Coventry city centre, this huge Museum is home to the world's largest collection of British road transport, and a visit whisks you away into a world of stories of real people, real passions and real hope.You'll discover the stories behind the people who made Coventry the centre of the world's motor and cycle industries, and get up close and personal with the actual vehicles that defined some of history's most important moments. The Museum is laid out as a journey through time - you'll wander 19th Century streets and discover the first bicycles, carriages and cars, then explore the first car factories and gasp as you witness their wartime destruction in the Blitz Experience. The journey continues through the Boomtown, Spirit of Speed and Ghost Town galleries to bring you right up to the present day.A visit to the Museum brings you face to face with Royal cars, military vehicles, and cars that played vital parts in their drivers' life stories - none more so than the current Land Speed Record holding vehicle, ThrustSSC, which lives at the Museum. Not only can you marvel at this spectacular piece of British engineering, you can experience for yourself what it's like to travel through the sound barrier at over 760mph in the ThrustSSC Simulator.",0,NA,-1.5102532,52.4105754,NA,Coventry Transport Museum,+44 24 7623 4270,1,4.5,"2,372",59,Museums,Transportation,#bf7000,,,,,
,"Bovington, Wareham BH20 6JG, England",397,Europe,GBR,England,79,"The Tank Museum brings history to life, with the world's best collection of tanks and explosive live displays. ",0,NA,-2.2434364,50.6943709,NA,The Tank Museum,+44 1929 405096,1,4.5,"2,253",1,Museums,Military,Blue,,,,,
,"High Street, Kingston-upon-Hull HU1 1PS, England",397,Europe,GBR,England,79,"Climb aboard at the Streetlife Museum of Transport and enjoy all the sights, sounds and smells of the past. Admission to the Streetlife Museum is free. Experience 200 years of transport history as you walk down a 1940's high street, board a tram or enjoy the pleasures of our carriage ride.",0,NA,-0.3309551,53.7430813,2-3 hours ,Streetlife Museum of Transport,4.41E+11,1,4.5,"1,167",66,Museums,Transportation,#bf7000,,,,,
,"Kemble Drive, Swindon SN2 2TA, England",397,Europe,GBR,England,79,,0,NA,-1.7981392,51.5641267,NA,STEAM Museum of the Great Western Railway,+44 01793 466646,1,4.5,932,45,Museums,Transportation,#bf7000,,,,,
,"Old Blue Mill, Backbarrow LA12 8TA, England",397,Europe,GBR,England,79,"The Lakeland Motor Museum nestles in the picturesque Leven Valley, at Backbarrow, close to the southern tip of Lake Windermere in the beautiful English Lake District.This thought-provoking attraction provides a perfect 'whatever the weather', all year venue, which entertains and enthrals all ages.Our free educational quiz helps pass on knowledge and understanding.We offer combined ticketing with Windermere Lake Cruises and the Lakeside and Haverthwaite Steam Railway.The museum's adjacent Cafe Ambio has a beautiful riverside setting and our welcoming gift shop is among the best of places to find the perfect present for any occasion.",0,NA,-2.9896573,54.2598842,NA,Lakeland Motor Museum,015395 30400,1,4.5,890,3,Museums,Transportation,#bf7000,,,,,
